,brand,model,processor_name,ram_gb,ssd,hdd,latest_price
279,ASUS,TUF,Core i5,16 GB GB,512 GB,0 GB,82990
280,DELL,Vostro,Core i5,8 GB GB,512 GB,0 GB,64190
281,DELL,Missing,Core i5,16 GB GB,512 GB,0 GB,70090
282,realme,Book(Slim),Core i5,8 GB GB,512 GB,0 GB,60999
283,ASUS,Missing,Core i5,8 GB GB,512 GB,0 GB,49990
284,MSI,Missing,Core i5,8 GB GB,512 GB,0 GB,55490
285,HP,Spectre,Core i5,8 GB GB,512 GB,0 GB,97990
286,ASUS,VivoBook,Core i5,8 GB GB,512 GB,0 GB,54990
287,Lenovo,Thinkbook,Core i5,8 GB GB,512 GB,0 GB,59990
288,Lenovo,IdeaPad,Core i5,8 GB GB,512 GB,0 GB,53990
289,HP,Pavilion,Core i5,16 GB GB,512 GB,0 GB,66999
290,acer,Intel,Core i5,8 GB GB,512 GB,0 GB,60990
291,ASUS,Missing,Core i5,8 GB GB,512 GB,0 GB,47990
292,HP,Missing,Core i5,8 GB GB,512 GB,0 GB,59999
293,DELL,G15,Core i5,16 GB GB,512 GB,0 GB,79990
294,ASUS,TUF,Core i5,8 GB GB,512 GB,0 GB,63990
295,HP,Pavilion,Core i5,8 GB GB,512 GB,0 GB,63990
297,Lenovo,IdeaPad,Core i5,8 GB GB,512 GB,0 GB,55990
300,DELL,Vostro,Core i5,16 GB GB,512 GB,0 GB,69490
301,DELL,Inspiron,Core i5,16 GB GB,512 GB,0 GB,89390
302,ASUS,ZenBook,Core i5,8 GB GB,512 GB,0 GB,74990
303,Lenovo,Thinkbook,Core i5,8 GB GB,512 GB,0 GB,64990
304,Lenovo,Legion,Core i5,8 GB GB,512 GB,0 GB,66490
305,DELL,Inspiron,Core i5,16 GB GB,512 GB,0 GB,89702
306,Lenovo,Ideapad,Core i5,16 GB GB,512 GB,0 GB,70990
307,Infinix,INBook,Core i5,8 GB GB,512 GB,0 GB,42490
308,ASUS,VivoBook,Core i5,16 GB GB,512 GB,0 GB,58990
309,Lenovo,Ideapad,Core i5,8 GB GB,512 GB,0 GB,57500
310,DELL,Inspiron,Core i5,8 GB GB,512 GB,0 GB,79990
311,MSI,Modern,Core i5,8 GB GB,512 GB,0 GB,56541
312,ASUS,Missing,Core i5,16 GB GB,512 GB,0 GB,59990
313,Lenovo,ThinkBook,Core i5,16 GB GB,512 GB,0 GB,64990
314,DELL,Missing,Core i5,8 GB GB,512 GB,0 GB,61290
315,Lenovo,Missing,Core i5,8 GB GB,512 GB,0 GB,54990
316,Lenovo,ThinkBook,Core i5,8 GB GB,512 GB,0 GB,59990
317,ASUS,ASUS,Core i5,8 GB GB,512 GB,0 GB,84990
318,HP,Pavilion,Core i5,8 GB GB,512 GB,0 GB,72500
319,Lenovo,IdeaPad,Core i5,8 GB GB,512 GB,0 GB,59990
320,Lenovo,Yoga,Core i5,8 GB GB,512 GB,0 GB,87990
321,HP,14s,Core i5,8 GB GB,512 GB,0 GB,57990
322,DELL,Inspiron,Core i5,8 GB GB,512 GB,0 GB,69490
323,Lenovo,Thinkbook,Core i5,8 GB GB,512 GB,0 GB,68990
324,Lenovo,Missing,Core i5,8 GB GB,512 GB,0 GB,77990
325,ASUS,ZenBook,Core i5,8 GB GB,512 GB,0 GB,105990
326,MSI,Prestige,Core i5,8 GB GB,512 GB,0 GB,79990
327,DELL,Vostro,Core i5,8 GB GB,512 GB,0 GB,55490
328,Lenovo,IdeaPad,Core i5,8 GB GB,512 GB,0 GB,69990
329,ASUS,Zenbook,Core i5,8 GB GB,512 GB,0 GB,84990
330,DELL,Inspiron,Core i5,8 GB GB,512 GB,0 GB,59990
331,DELL,XPS,Core i5,8 GB GB,512 GB,0 GB,111890
332,DELL,Inspiron,Core i5,8 GB GB,512 GB,0 GB,65990
333,ASUS,Zenbook,Core i5,8 GB GB,512 GB,0 GB,72990
334,DELL,Inspiron,Core i5,8 GB GB,512 GB,0 GB,71090
335,MSI,Katana,Core i5,8 GB GB,512 GB,0 GB,74990
336,ASUS,ZenBook,Core i5,8 GB GB,512 GB,0 GB,79990
337,MSI,Modern,Core i5,8 GB GB,512 GB,0 GB,55490
338,DELL,Vostro,Core i5,8 GB GB,512 GB,0 GB,66490
339,ASUS,VivoBook,Core i5,8 GB GB,512 GB,0 GB,53400
340,DELL,Inspiron,Core i5,8 GB GB,512 GB,0 GB,74500
341,DELL,XPS,Core i5,8 GB GB,512 GB,0 GB,114990
342,DELL,Vostro,Core i5,8 GB GB,512 GB,0 GB,61990
343,APPLE,MacBook,Core i5,8 GB GB,512 GB,0 GB,159990
344,APPLE,MacBook,Core i5,8 GB GB,512 GB,0 GB,172090
345,MSI,Sword,Core i5,8 GB GB,512 GB,0 GB,74990
346,MSI,Modern,Core i5,8 GB GB,512 GB,0 GB,56490
347,Lenovo,ThinkPad,Core i5,8 GB GB,512 GB,0 GB,147000
348,Lenovo,Ideapad,Core i5,8 GB GB,512 GB,0 GB,55990
349,HP,Pavilion,Core i5,8 GB GB,512 GB,0 GB,77990
350,HP,Envy,Core i5,8 GB GB,512 GB,0 GB,106490
351,Lenovo,IdeaPad,Core i5,8 GB GB,512 GB,0 GB,70990
352,Lenovo,ThinkPad,Core i5,8 GB GB,512 GB,0 GB,64990
353,acer,Aspire,Core i5,8 GB GB,512 GB,0 GB,57990
354,ASUS,TUF,Core i5,8 GB GB,512 GB,0 GB,64990
355,MSI,Modern,Core i5,8 GB GB,512 GB,0 GB,54990
356,Vaio,SE,Core i5,8 GB GB,512 GB,0 GB,62890
357,HP,Spectre,Core i5,8 GB GB,512 GB,0 GB,111999
358,Lenovo,Yoga,Core i5,8 GB GB,512 GB,0 GB,70798
359,Lenovo,Legion,Core i5,8 GB GB,512 GB,0 GB,59990
360,acer,ConceptD,Core i5,8 GB GB,512 GB,0 GB,99500
361,HP,14s,Core i5,8 GB GB,512 GB,0 GB,55990
362,ASUS,ZenBook,Core i5,8 GB GB,512 GB,0 GB,72990
363,acer,Swift,Core i5,8 GB GB,512 GB,0 GB,64990
364,ASUS,Missing,Core i5,8 GB GB,512 GB,0 GB,57990
365,HP,HP,Core i5,8 GB GB,512 GB,0 GB,76990
366,Lenovo,Ideapad,Core i5,8 GB GB,512 GB,0 GB,62998
367,DELL,Inspiron,Core i5,8 GB GB,512 GB,0 GB,77990
